2026/04/10	支払手数料	FBｻｰﾋﾞｽ手数料	-3850.0			対象外	2026/04			FBｻｰﾋﾞｽ手数料			FBｻｰﾋﾞｽ手数料	FBｻｰﾋﾞｽ手数料					
2026/04/10	支払手数料	IB手数料	-3630.0			対象外	2026/04			IB手数料			IB手数料	IB手数料					
2026/04/10	支払手数料	B-WEB伝送基本手数料	-2530.0			対象外	2026/04			B-WEB伝送基本手数料			B-WEB伝送基本手数料	B-WEB伝送基本手数料					
2026/04/10	支払手数料	B-WEB基本手数料	-1650.0			対象外	2026/04			B-WEB基本手数料			B-WEB基本手数料	B-WEB基本手数料					
2026/04/10	支払手数料	手数料	-440.0			対象外	2026/04			手数料			手数料	手数料					
2026/04/10	諸口	該当なし 手数料 ザンダカシヨウメイ	-440.0			対象外	2026/04			該当なし 手数料 ザンダカシヨウメイ			該当なし 手数料 ザンダカシヨウメイ	該当なし 手数料 ザンダカシヨウメイ					
2026/04/10	諸口	(有)エルグレコ様 SB24548/24461	57700.0		KK00001837	要確認	2026/04			(有)エルグレコ様 SB24548/24461	2772.0		(有)エルグレコ様 SB24548/24461	(有)エルグレコ様 SB24548/24461					
2026/04/10	受取手数料	ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ	79577.0			対象外	2026/04			ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ	2768.0	0.0	ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ	ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ					
2026/04/10	売掛金	(株)ウェルテック様 SB24486	104643.0	SB00024486	KK00001662	自動消込	2026/04			(株)ウェルテック様 SB24486	2771.0		(株)ウェルテック様 SB24486	(株)ウェルテック様 SB24486					
2026/04/10	受取手数料	ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ	159158.0			対象外	2026/04			ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ	2767.0	0.0	ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ	ﾌﾟﾚﾐｱ㈱ｷｯｸﾊﾞｯｸ					
2026/04/10	普通預金(入金)	もみじへ資金移動	1000000.0			対象外	2026/04			広銀蔵王よりもみじへ資金移動			広銀蔵王よりもみじへ資金移動	広銀蔵王よりもみじへ資金移動					
2026/04/10	普通預金(入金)	笠信へ資金移動	2700000.0			対象外	2026/04			広銀蔵王より笠信へ資金移動			広銀蔵王より笠信へ資金移動	広銀蔵王より笠信へ資金移動					
2026/04/10	売掛金	ストロングマウンテン㈱	8439760.0			自動消込	2026/04			ストロングマウンテン㈱	2815.0	0.0	ストロングマウンテン㈱	ストロングマウンテン㈱					
2026/04/13	諸口	該当なし EBフリコミ	-11500.0			対象外	2026/04			該当なし EBフリコミ			該当なし EBフリコミ	該当なし EBフリコミ					
2026/04/13	諸口	該当なし EBフリコミ	-7100.0			対象外	2026/04			該当なし EBフリコミ			該当なし EBフリコミ	該当なし EBフリコミ					
2026/04/13	未払金	きずな東京	-7100.0			対象外	2026/04			きずな東京			きずな東京	きずな東京					
2026/04/13	諸口	該当なし EBフリコミ	-5000.0			対象外	2026/04			該当なし EBフリコミ			該当なし EBフリコミ	該当なし EBフリコミ					
